"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2014","53","JONES","7,274,276","730","381,421","6,892,125","1,700","45,735","982,758","6,059,733","57,148","553,896","219,118","673,654","15,485,867","0","1,793,620","11,298","17,290,785",
"2010","58","LOUISA","4,319,830","56,824","128,452","4,134,554","5,800","42,703","1,076,796","5,150,812","75,936","595,554","39,531","76,766","11,198,452","2,656","1,768,397","4,068","12,973,573",
"2013","20","CLARKE","4,166,829","3,647","182,419","3,980,763","700","39,364","368,386","2,687,663","14,200","376,203","29,834","388,148","7,885,261","0","540,000","0","8,425,261",
"2023","76","POCAHONTAS","6,960,640","0","324,419","6,636,221","270","26,950","507,091","5,701,494","42,163","625,233","671,945","243,655","14,455,022","0","1,736,605","0","16,191,627",
"2010","79","POWESHIEK","5,955,176","0","0","5,955,176","1,754","60,796","1,079,743","4,873,321","47,240","452,771","233,091","199,425","12,903,317","0","2,107,326","256","15,010,899",
"2021","12","Butler","6,998,523","0","0","6,998,523","46,630","51,814","1,923,936","8,801,517","60,692","577,937","242,325","1,799,403","20,502,777","0","6,050,590","1,267","26,554,634",
"2012","64","MARSHALL","11,922,898","3,938","416,492","11,502,468","6,179","112,469","2,225,360","10,172,771","443,283","775,328","247,832","235,984","25,721,674","0","2,936,114","594","28,658,382",
"2022","45","HOWARD","6,278,054","0","351,505","5,926,549","43","39,277","1,805,204","7,013,255","21,422","555,624","134,121","181,384","15,676,879","9,884,527","2,543,422","0","28,104,828",
"2010","30","DICKINSON","6,625,700","47,739","94,432","6,483,529","6,899","109,867","1,942,312","4,063,923","64,104","664,934","353,316","1,014,005","14,702,889","485,941","2,758,913","300","17,948,043",
"2012","19","CHICKASAW","4,200,994","1,009","186,567","4,013,418","1,163","27,026","785,622","4,821,969","16,910","796,910","158,780","120,555","10,742,353","0","2,559,724","2,702","13,304,779",
"2024","30","DICKINSON","13,545,311","4,147","188,888","13,352,276","4,179","102,618","2,764,916","5,433,238","78,734","1,053,470","1,376,893","446,460","24,612,784","0","4,317,242","0","28,930,026",
"2014","80","RINGGOLD","2,767,960","0","121,196","2,646,764","1,235","26,313","442,749","3,815,955","5,010","827,238","15,965","885,766","8,666,995","0","712,648","0","9,379,643",
"2019","34","Floyd","6,188,367","0","441,517","5,746,850","977","45,079","1,672,059","6,444,715","41,088","544,988","481,387","476,017","15,453,160","1,412,373","6,029,881","0","22,895,414",
"2014","97","WOODBURY","27,035,428","0","1,075,735","25,959,693","-253,733","386,553","5,766,349","10,552,536","645,024","2,693,688","352,265","816,955","46,919,330","845,000","8,085,760","0","55,850,090",
"2011","66","MITCHELL","4,487,960","0","191,540","4,296,420","399","30,522","587,745","4,045,198","11,714","1,090,736","226,643","158,606","10,447,983","6,309,699","2,850,372","1,056","19,609,110",
"2024","80","RINGGOLD","3,968,958","0","181,024","3,787,934","30","26,195","551,402","4,684,857","29,503","291,766","289,537","272,513","9,933,737","0","920,000","7,010","10,860,747",
"2023","16","CEDAR","9,672,654","0","485,088","9,187,566","940","54,109","1,342,896","6,652,816","48,365","1,399,840","317,762","340,182","19,344,476","0","2,849,513","46,749","22,240,738",
"2017","64","MARSHALL","12,482,705","5,067","857,086","11,620,552","980","124,421","2,452,171","7,826,557","61,081","864,971","197,491","400,949","23,549,173","0","2,764,932","9,453","26,323,558",
"2017","97","WOODBURY","30,475,748","0","2,263,861","28,211,887","26,507","326,352","6,176,229","10,991,963","128,710","2,656,445","396,567","1,369,793","50,284,453","6,427,404","11,324,759","0","68,036,616",
"2011","81","SAC","4,733,175","9,116","569,576","4,154,483","9,682","35,277","493,247","4,223,828","17,420","963,748","65,702","131,271","10,094,658","0","1,161,715","87,350","11,343,723",
"2024","65","MILLS","11,512,650","306","462,961","11,049,383","2,606","56,849","2,114,590","5,393,980","193,873","545,577","1,009,572","382,694","20,749,124","0","3,450,499","30,781","24,230,404",
"2015","97","WOODBURY","31,557,454","0","1,395,918","30,161,536","18,075","331,794","2,615,656","13,785,999","402,825","2,090,176","423,063","944,239","50,773,363","1,765,000","9,538,153","0","62,076,516",
"2023","87","TAYLOR","4,140,273","0","257,772","3,882,501","-277","33,226","400,101","5,328,216","7,738","379,743","75,735","178,694","10,285,677","0","961,395","0","11,247,072",
"2014","48","IOWA","7,211,097","3,182","333,480","6,874,435","9,361","51,132","2,550,753","4,610,419","24,926","1,125,284","347,726","379,334","15,973,370","40,000","1,327,724","0","17,341,094",
"2020","51","Jefferson","7,746,322","180,265","346,080","7,219,977","5,730","32,587","914,326","4,221,385","36,848","1,334,526","57,596","72,861","13,895,836","6,668,659","974,146","0","21,538,641",
"2021","21","Clay","8,718,518","45,334","466,808","8,206,376","57,834","73,097","1,536,215","8,804,152","37,876","661,007","481,712","263,331","20,121,600","10,128,453","3,980,752","0","34,230,805",
"2013","25","DALLAS","19,073,513","0","449,152","18,624,361","43","152,413","627,002","8,488,079","139,230","2,828,094","277,325","567,053","31,703,600","0","5,118,298","538,400","37,360,298",
"2013","80","RINGGOLD","2,701,718","0","87,372","2,614,346","898","26,438","404,146","4,873,623","8,360","672,753","21,266","1,013,616","9,635,446","0","626,943","0","10,262,389",
"2024","33","FAYETTE","10,248,576","0","452,485","9,796,091","1,066","69,287","1,235,517","7,924,972","49,201","1,407,445","491,822","2,324,996","23,300,397","0","3,390,010","31,616","26,722,023",
"2016","30","DICKINSON","8,917,593","2,072","244,658","8,670,863","956","80,917","2,057,741","3,883,082","70,127","760,344","275,985","315,531","16,115,546","962","3,070,923","0","19,187,431",
"2023","48","IOWA","9,348,400","914","514,433","8,833,053","121","49,694","2,060,093","7,464,000","38,975","2,570,883","751,124","1,771,365","23,539,308","70,000","1,325,875","0","24,935,183",
"2012","14","CARROLL","6,123,376","0","212,163","5,911,213","2,164","25,923","1,110,990","5,893,054","85,075","1,682,098","276,432","630,479","15,617,428","0","1,894,285","2,182","17,513,895",
"2016","53","JONES","7,782,931","792","522,298","7,259,841","739","42,983","1,051,340","7,675,261","70,809","637,273","170,920","440,550","17,349,716","0","2,042,671","14,892","19,407,279",
"2012","56","LEE","9,795,800","0","416,663","9,379,137","17,375","148,560","2,461,328","10,115,367","102,784","922,741","228,771","236,161","23,612,224","0","1,310,000","0","24,922,224",
"2014","90","WAPELLO","9,533,490","25,721","515,657","8,992,112","8,264","181,612","2,532,435","4,373,316","67,585","835,718","252,294","695,512","17,938,848","0","1,700,020","6,335","19,645,203",
"2021","48","Iowa","9,336,729","0","576,174","8,760,555","97,451","70,440","1,948,688","10,445,851","47,736","2,212,856","454,158","408,890","24,446,625","40,000","1,383,900","0","25,870,525",
"2018","43","Harrison","8,157,582","2,568","456,475","7,698,539","1,044","55,284","693,823","5,603,663","34,690","675,444","208,692","612,027","15,583,206","0","2,747,000","0","18,330,206",
"2011","8","BOONE","7,331,749","4,144","247,415","7,080,190","868","81,438","1,089,319","6,777,477","17,870","949,651","102,977","207,550","16,307,340","489,156","2,161,467","25,267","18,983,230",
"2012","41","HANCOCK","4,069,473","0","142,967","3,926,506","1,193","33,827","520,632","4,851,995","19,804","434,129","186,616","393,633","10,368,335","0","2,615,000","0","12,983,335",
"2011","23","CLINTON","15,711,223","0","549,490","15,161,733","6,355","149,895","2,608,542","10,626,849","89,120","1,074,168","296,645","1,659,669","31,672,976","0","4,302,905","38,750","36,014,631",
"2015","20","CLARKE","4,560,232","52,060","212,843","4,295,329","1,372","41,159","383,337","5,493,098","12,730","291,414","28,234","270,582","10,817,255","558,958","560,655","0","11,936,868",
"2021","63","Marion","14,690,038","0","800,144","13,889,894","79,523","104,569","2,350,313","12,719,733","70,060","1,685,807","106,727","248,807","31,255,433","4,741,190","2,772,977","78,885","38,848,485",
"2019","47","Ida","2,649,012","0","186,846","2,462,166","0","17,037","639,003","3,136,983","9,873","384,702","235,278","374,872","7,259,914","1,379,836","8,868,400","0","17,508,150",
"2023","97","WOODBURY","37,764,354","0","1,492,416","36,271,938","5,145","376,113","8,081,312","25,757,489","74,990","2,964,547","1,369,799","1,530,369","76,431,702","1,900,000","16,139,720","0","94,471,422",
"2020","31","Dubuque","34,099,231","412,018","1,802,742","31,884,471","882","65,784","5,757,153","12,496,847","139,609","2,502,531","1,775,653","1,999,038","56,621,968","661,559","8,726,522","0","66,010,049",
"2013","52","JOHNSON","43,855,137","0","812,175","43,042,962","18,482","376,692","930,851","17,642,382","679,431","4,133,559","275,043","1,111,842","68,211,244","5,000,000","22,730,907","15,087","95,957,238",
"2015","80","RINGGOLD","2,928,938","0","178,569","2,750,369","961","24,531","423,671","4,331,937","4,770","704,441","18,047","246,814","8,505,541","0","716,095","0","9,221,636",
"2018","15","Cass","7,293,612","1,276","508,337","6,783,999","1,440","55,626","1,026,878","6,066,329","15,909","374,718","186,072","260,051","14,771,022","2,521,812","4,169,460","0","21,462,294",
"2010","85","STORY","19,991,137","28,559","438,498","19,524,080","12,435","175,795","2,020,490","10,266,796","77,839","1,723,118","383,693","379,269","34,563,515","5,271,645","2,000,000","3,700","41,838,860",
"2013","57","LINN","57,764,650","70,412","1,500,293","56,193,945","32,236","664,734","7,640,750","43,355,117","1,129,706","7,709,811","614,473","1,933,989","119,274,761","0","18,610,674","299,788","138,185,223",
"2019","76","Pocahontas","6,838,903","2,606","316,863","6,519,434","1,058","24,053","443,729","4,917,880","91,014","469,565","530,763","148,452","13,145,948","1,541,996","0","9,028","14,696,972",
"2021","95","Winnebago","6,772,941","0","0","6,772,941","28,274","35,300","3,769,993","6,068,951","28,533","1,151,446","154,088","399,740","18,409,266","6,826,889","2,180,318","167,786","27,584,259",
"2022","96","WINNESHIEK","10,315,480","0","611,974","9,703,506","1,114","41,913","2,183,854","13,489,941","73,432","896,766","196,828","1,376,671","27,964,025","0","2,795,191","7,361","30,766,577",
"2020","62","Mahaska","9,648,148","0","539,593","9,108,555","620","29,938","1,595,151","5,344,974","32,205","653,993","257,509","549,550","17,572,495","355,000","3,208,871","0","21,136,366",
"2018","30","Dickinson","9,320,695","0","0","9,320,695","1,009","73,665","2,154,472","4,633,677","103,541","805,373","442,043","424,280","17,958,755","32,999","3,582,820","0","21,574,574",
"2019","15","Cass","7,367,132","0","517,931","6,849,201","1,511","57,735","1,230,997","5,125,534","20,925","357,113","303,271","348,339","14,294,626","4,185,783","0","0","18,480,409",
"2014","85","STORY","22,841,536","56,957","589,017","22,195,562","676","129,030","2,557,957","10,223,447","74,275","1,854,126","195,927","1,130,757","38,361,757","159,200","2,337,588","673,660","41,532,205",
"2016","9","BREMER","8,074,138","19,192","448,589","7,606,357","-7,015","44,919","1,259,883","6,916,302","333,622","974,568","267,205","474,752","17,870,593","0","2,988,998","26,255","20,885,846",
"2019","91","Warren","14,816,685","0","693,598","14,123,087","989","108,317","893,497","7,832,568","84,650","1,440,078","556,665","439,106","25,478,957","3,725,000","9,645,341","38,307","38,887,605",
"2017","74","PALO ALTO","6,468,095","5,724","352,085","6,110,286","9","24,210","1,455,584","4,819,286","24,195","670,178","84,849","621,021","13,809,618","0","2,506,924","0","16,316,542",
"2011","49","JACKSON","4,974,695","0","237,606","4,737,089","1,015","67,372","928,461","5,781,433","30,251","602,968","498,735","356,210","13,003,534","0","1,517,546","161,959","14,683,039",
"2021","81","Sac","6,417,230","12,667","442,593","5,961,970","47,432","34,718","723,654","5,756,385","21,422","1,195,047","47,447","605,585","14,393,660","433,348","1,732,123","10,978","16,570,109",
"2014","2","ADAMS","2,414,866","184","135,135","2,279,547","2","17,056","730,238","2,852,059","7,838","372,621","89,663","110,821","6,459,845","0","845,361","8,020","7,313,226",
"2016","94","WEBSTER","13,536,080","0","775,730","12,760,350","10,004","125,140","2,567,393","11,916,622","80,463","1,219,666","342,614","273,090","29,295,342","0","4,100,177","41,087","33,436,606",
"2023","91","WARREN","17,196,589","0","0","17,196,589","1,740","107,872","3,442,307","13,372,279","187,915","1,497,203","1,255,575","1,538,910","38,600,390","0","3,923,549","1,117","42,525,056",
"2012","83","SHELBY","5,081,393","0","236,810","4,844,583","306","33,805","791,349","5,466,277","243,127","383,959","99,718","259,831","12,122,955","0","2,500,160","2,000","14,625,115",
"2022","28","DELAWARE","11,007,376","1,585","545,604","10,460,187","6,743","56,184","1,785,984","8,332,157","60,620","741,850","441,908","412,540","22,298,173","0","3,008,856","0","25,307,029",
"2010","62","MAHASKA","6,828,368","0","279,427","6,548,941","4,496","68,568","1,325,973","6,165,526","18,114","546,015","402,640","475,782","15,556,055","0","1,643,729","0","17,199,784",
"2016","41","HANCOCK","5,296,916","0","253,246","5,043,670","1,505","31,862","476,212","4,915,260","22,753","371,999","213,912","289,417","11,366,590","0","2,170,000","0","13,536,590",
"2018","86","Tama","9,063,462","4,948","598,398","8,460,116","2,260","59,603","969,356","7,459,249","22,276","806,049","143,627","105,127","18,027,663","0","2,395,865","42,179","20,465,707",
"2016","99","WRIGHT","6,666,962","0","424,739","6,242,223","3,990","44,074","861,597","6,944,340","15,444","650,408","246,123","343,692","15,351,891","0","2,288,074","5,858","17,645,823",
"2017","42","HARDIN","7,754,490","0","526,005","7,228,485","2,885","52,143","1,547,714","9,074,224","21,595","558,257","235,288","1,713,233","20,433,824","3,156,844","1,910,547","0","25,501,215",
"2012","24","CRAWFORD","6,977,547","8,022","249,678","6,719,847","6,845","56,190","708,158","7,880,366","10,375","961,344","124,733","208,315","16,676,173","0","2,042,500","7,751","18,726,424",
"2024","62","MAHASKA","9,854,000","0","341,494","9,512,506","1,097","46,571","3,316,299","5,844,910","56,816","712,903","801,708","1,575,347","21,868,157","4,760,818","2,710,764","0","29,339,739",
"2012","96","WINNESHIEK","7,590,454","750","276,489","7,313,215","263","55,141","1,329,896","8,130,723","19,342","660,170","173,625","885,398","18,567,773","0","1,911,485","219,226","20,698,484",
"2019","66","Mitchell","5,609,248","13","374,441","5,234,794","950","29,488","5,096,930","5,340,129","24,120","909,986","365,695","670,104","17,672,196","1,396,180","10,697","0","19,079,073",
"2018","75","Plymouth","9,880,440","0","496,876","9,383,564","251","58,990","1,988,962","7,841,194","37,932","1,282,146","299,245","378,998","21,271,282","0","4,311,300","0","25,582,582",
"2020","83","Shelby","6,462,406","0","352,755","6,109,651","211","14,328","853,167","4,812,526","109,306","334,964","249,422","358,212","12,841,787","0","3,896,855","0","16,738,642",
"2014","58","LOUISA","4,958,521","1,416","235,391","4,721,714","338","42,648","1,292,974","11,676,919","22,489","558,006","32,167","161,008","18,508,263","5,249","1,612,529","4,489","20,130,530",
"2021","31","Dubuque","35,567,196","799,886","1,786,633","32,980,677","389,736","316,219","6,494,971","23,164,839","150,242","3,022,679","672,696","908,425","68,100,484","668,260","5,715,093","53,444","74,537,281",
"2011","34","FLOYD","5,462,575","0","240,965","5,221,610","1,102","53,328","874,409","5,004,339","30,725","441,300","125,933","572,975","12,325,721","0","916,748","1,528","13,243,997",
"2017","82","SCOTT","47,703,825","15,642","2,289,759","45,398,424","15,642","611,959","7,341,227","14,139,940","729,106","5,770,914","247,886","1,191,821","75,446,919","0","16,385,339","85,370","91,917,628",
"2024","9","BREMER","8,789,002","1,209","331,074","8,456,719","4,632","52,481","1,582,295","6,878,059","330,417","964,935","1,226,613","860,975","20,357,126","5,025,086","3,433,576","36,400","28,852,188",
"2014","1","ADAIR","5,105,887","0","239,173","4,866,714","1,774","31,576","824,064","3,279,060","15,332","208,947","48,192","271,201","9,546,860","5,870,512","5,518,451","14,836","20,950,659",
"2010","90","WAPELLO","9,072,111","70,237","468,792","8,533,082","14,067","165,238","2,270,142","6,195,410","54,961","764,608","228,350","390,551","18,616,409","0","801,239","4,032","19,421,680",
"2023","65","MILLS","10,483,024","1,394","443,661","10,037,969","418","62,679","2,185,257","7,604,806","331,446","491,192","428,449","496,337","21,638,553","0","2,980,509","0","24,619,062",
"2011","35","FRANKLIN","5,536,757","1,250","207,555","5,327,952","499","44,387","635,088","5,456,332","15,490","677,494","135,617","199,755","12,492,614","0","1,513,198","35,606","14,041,418",
"2016","67","MONONA","5,818,314","0","349,204","5,469,110","690","32,488","450,771","4,773,179","12,234","265,183","235,611","119,153","11,358,419","0","1,551,110","8,300","12,917,829",
"2020","9","Bremer","8,122,201","76,697","437,047","7,608,457","-7,562","16,147","1,418,515","7,540,638","372,052","1,101,334","561,238","485,049","19,095,868","0","3,409,151","986","22,506,005",
"2014","16","CEDAR","7,291,938","0","301,664","6,990,274","26,428","66,155","900,865","5,227,575","33,733","1,161,007","168,824","127,173","14,702,034","28,853","1,963,800","15,563","16,710,250",
"2023","59","LUCAS","3,401,748","0","0","3,401,748","683","28,793","795,828","4,462,832","75,954","296,934","110,009","490,602","9,663,383","0","803,797","2,193","10,469,373",
"2019","98","Worth","4,784,848","32,428","352,123","4,400,297","40","29,794","4,462,486","4,210,182","25,487","296,094","210,653","2,238,788","15,873,821","1,101,777","0","0","16,975,598",
"2024","48","IOWA","9,704,927","0","360,357","9,344,570","490","47,649","2,125,461","6,800,904","73,657","2,792,256","1,323,983","514,339","23,023,309","6,338,599","1,326,500","30,000","30,718,408",
"2011","18","CHEROKEE","4,375,568","437","177,835","4,197,296","530","29,120","984,036","4,136,466","65,055","333,940","98,658","164,064","10,009,165","0","1,425,000","7,500","11,441,665",
"2012","46","HUMBOLDT","4,674,243","0","170,749","4,503,494","-799","28,054","499,328","3,651,075","48,355","289,507","135,272","173,507","9,327,793","0","1,403,697","4,291","10,735,781",
"2024","20","CLARKE","5,201,347","0","286,302","4,915,045","542","44,084","356,672","3,598,817","32,802","296,154","94,970","783,005","10,122,091","600,000","929,086","367,000","12,018,177",
"2014","33","FAYETTE","7,449,999","0","460,335","6,989,664","3,165","65,114","831,921","5,369,170","28,070","883,018","103,194","425,941","14,699,257","0","1,801,767","0","16,501,024",
"2022","14","CARROLL","9,042,357","0","582,238","8,460,119","0","37,025","1,473,251","8,182,727","51,524","2,287,712","229,636","505,250","21,227,244","0","3,671,124","1,350","24,899,718",
"2010","2","ADAMS","2,503,878","0","127,133","2,376,745","32","18,025","838,982","3,058,005","9,648","315,118","133,777","52,519","6,802,851","0","1,100,064","0","7,902,915",
"2021","16","Cedar","9,993,063","0","542,204","9,450,859","51,353","61,042","1,287,485","9,417,256","50,246","1,430,435","183,312","697,430","22,629,418","9,828,845","2,997,377","34,050","35,489,690",
"2022","55","KOSSUTH","9,484,500","0","501,086","8,983,414","317","47,553","1,971,207","9,942,532","29,792","804,014","158,925","680,646","22,618,400","16,076","2,872,073","1,282","25,507,831",
"2012","68","MONROE","4,289,042","9,333","121,000","4,158,709","885","40,937","450,174","3,372,201","2,455","218,423","87,484","97,435","8,428,703","0","822,995","33,059","9,284,757",
"2018","58","Louisa","5,156,507","5,507","312,513","4,838,487","1,797","40,744","1,188,286","3,765,152","34,705","666,102","84,136","117,208","10,736,617","0","2,145,331","977","12,882,925",
"2015","13","CALHOUN","6,265,452","0","371,803","5,893,649","1,121","33,062","482,718","4,390,049","21,051","1,081,461","130,497","281,513","12,315,121","0","1,385,313","10,440","13,710,874",
"2015","33","FAYETTE","7,593,115","0","539,500","7,053,615","17,825","100,042","908,990","6,093,223","25,476","1,243,311","118,127","456,601","16,017,210","0","1,835,308","20,414","17,872,932",
"2013","16","CEDAR","6,998,640","10,044","288,838","6,699,758","2,342","48,219","1,000,715","4,638,820","38,313","1,135,570","192,792","286,161","14,042,690","26,352","1,859,448","8,452","15,936,942",
"2010","75","PLYMOUTH","6,838,997","0","301,491","6,537,506","4,771","60,968","2,510,462","7,281,434","22,993","871,905","243,594","312,446","17,846,079","100,000","3,024,941","0","20,971,020",
"2012","9","BREMER","6,331,336","0","0","6,331,336","281","45,109","1,217,129","5,040,559","258,376","747,646","311,113","659,069","14,610,618","0","2,778,037","9,200","17,397,855",
"2013","11","BUENA VISTA","8,364,600","24,663","307,446","8,032,491","1,535","45,094","1,074,969","4,367,386","51,389","766,451","83,184","131,837","14,554,336","762,411","2,385,935","61,844","17,764,526",
"2020","85","Story","28,205,681","167,581","1,044,326","26,993,774","3,152","62,001","3,694,443","8,650,075","245,745","1,766,716","811,535","1,342,347","43,569,788","6,000,000","3,219,460","7,600","52,796,848",
"2012","95","WINNEBAGO","4,226,463","0","0","4,226,463","1,142","26,439","564,564","4,044,944","21,251","1,070,385","135,348","467,479","10,558,015","5,198,074","1,450,644","0","17,462,712",
"2022","19","CHICKASAW","7,462,883","0","0","7,462,883","101","32,032","1,290,799","5,405,318","53,095","1,182,324","101,357","399,376","15,927,285","0","1,942,150","5","17,869,440",
"2012","36","FREMONT","3,687,191","27,638","161,591","3,497,962","12,421","45,733","881,431","5,902,425","15,293","292,981","81,382","80,552","10,810,180","146,693","909,009","18,422","11,884,304",
"2014","57","LINN","59,857,684","12,398","1,851,986","57,993,300","59,643","630,259","7,925,758","28,966,976","1,011,297","7,512,603","514,056","1,667,964","106,281,856","0","18,291,392","226,197","124,799,445",
"2010","7","BLACK HAWK","29,186,346","172,800","975,503","28,038,043","8,491","410,634","4,222,180","28,054,375","485,311","5,949,574","926,446","1,835,435","69,930,489","8,290,000","2,083,911","55,649","80,360,049",
"2019","30","Dickinson","7,303,194","0","0","7,303,194","0","83,677","1,896,305","4,572,002","26,340","712,302","323,648","0","14,917,468","0","0","0","14,917,468",
"2012","51","JEFFERSON","5,379,772","6,699","192,026","5,181,047","841","80,118","781,866","3,803,784","16,367","517,481","78,401","149,671","10,609,576","787,057","993,844","0","12,390,477",
"2010","61","MADISON","4,409,106","9,580","153,433","4,246,093","1,365","69,722","847,281","4,565,210","43,996","907,922","126,889","161,730","10,970,208","0","1,316,523","8,981","12,295,712",
"2013","84","SIOUX","8,029,902","2,272","363,710","7,663,920","1,976","69,632","2,023,438","6,240,361","16,160","891,959","103,072","669,594","17,680,112","0","6,465,550","4,853","24,150,515",
"2011","19","CHICKASAW","4,044,918","7,054","185,040","3,852,824","275","30,116","734,159","4,332,126","13,661","892,043","127,022","185,499","10,167,725","0","1,920,000","9,300","12,097,025",
"2015","18","CHEROKEE","5,583,264","552","303,242","5,279,470","206","31,602","948,386","5,688,869","70,076","354,460","60,934","134,872","12,568,875","0","2,333,500","2,804","14,905,179",
"2019","52","Johnson","60,092,118","0","1,952,222","58,139,896","11,568","411,188","969,233","23,126,979","739,473","5,014,341","1,869,972","639,744","90,922,394","15,267,738","19,732,000","18,461","125,940,593",
"2014","44","HENRY","7,291,157","0","372,129","6,919,028","5,332","70,124","973,524","3,855,141","49,503","539,142","56,310","380,168","12,848,272","0","1,348,478","96,451","14,293,201",
"2016","85","STORY","24,753,948","25,935","1,027,380","23,700,633","1,351","123,483","3,321,417","10,016,230","53,957","1,685,019","809,114","661,771","40,372,975","2,484,012","3,429,012","6,810","46,292,809",
"2012","73","PAGE","4,095,002","6,548","201,696","3,886,758","2,852","56,755","569,195","4,762,188","29,152","382,968","60,290","268,663","10,018,821","0","1,016,089","2,110","11,037,020",
"2015","35","FRANKLIN","6,331,260","1,250","334,558","5,995,452","530","37,078","2,019,068","5,871,053","21,961","608,521","143,459","91,080","14,788,202","10,000,000","1,961,857","23,638","26,773,697",
"2024","53","JONES","10,603,146","1,235","401,371","10,200,540","746","51,628","1,511,660","7,051,956","98,184","750,791","843,936","585,300","21,094,741","0","2,971,102","16,265","24,082,108",
"2016","68","MONROE","4,744,879","0","261,913","4,482,966","543","41,076","568,951","4,333,833","5,246","273,868","97,895","66,253","9,870,631","0","1,893,007","0","11,763,638",
"2015","52","JOHNSON","48,911,770","0","1,235,938","47,675,832","5,705","324,801","987,360","20,301,457","681,851","4,225,040","301,240","1,462,841","75,966,127","14,000,000","15,419,978","6,644","105,392,749",
"2018","2","Adams","3,472,833","0","211,491","3,261,342","337","22,557","739,761","3,312,278","7,545","468,930","45,049","105,935","7,963,734","0","968,420","1,016,103","9,948,257",
"2019","35","Franklin","6,725,637","1,000","533,935","6,190,702","438","40,045","3,961,932","6,520,105","56,804","566,994","272,339","165,412","17,774,771","2,945,727","0","57,633","20,778,131",
"2010","86","TAMA","7,214,723","31,961","346,199","6,836,563","1,384","64,876","745,032","6,877,947","17,484","520,733","176,848","123,968","15,364,835","0","1,985,248","7,683","17,357,766",
"2023","20","CLARKE","4,804,041","1,189","288,970","4,513,882","112","42,102","364,537","4,632,098","31,736","291,385","61,197","373,700","10,310,749","0","910,044","0","11,220,793",
"2012","4","APPANOOSE","3,914,617","22,360","182,739","3,709,518","14,802","91,748","1,047,101","5,081,686","2,390","334,834","21,473","109,960","10,413,512","0","769,915","142,505","11,325,932",
"2022","12","BUTLER","7,054,908","0","0","7,054,908","165","35,480","2,183,586","8,077,172","69,296","640,890","241,160","676,474","18,979,131","5,039,684","4,459,711","369","28,478,895",
"2021","65","Mills","10,503,729","1,484","470,114","10,032,131","136,577","93,564","1,978,057","17,147,852","895,694","538,607","269,066","679,634","31,771,182","0","2,637,414","0","34,408,596",
"2017","69","MONTGOMERY","5,682,553","0","356,832","5,325,721","3,242","40,241","592,943","4,026,223","11,246","298,840","52,933","122,365","10,473,754","600,000","867,000","5,185","11,945,939",
"2018","19","Chickasaw","5,674,383","0","415,576","5,258,807","1,333","27,697","863,672","4,955,998","21,696","1,052,737","127,048","218,130","12,527,118","0","1,990,500","161,900","14,679,518",
"2023","52","JOHNSON","64,756,890","0","1,902,541","62,854,349","8,474","520,995","1,208,500","28,138,629","933,407","5,570,419","4,685,073","1,804,366","105,724,212","20,293,000","23,890,432","35,233","149,942,877",
"2013","85","STORY","21,789,107","80,736","491,987","21,216,384","1,274","147,639","2,543,703","9,076,379","57,295","1,910,108","202,436","925,615","36,080,833","3,185,000","3,129,231","23,000","42,418,064",
"2024","85","STORY","28,670,149","28,826","600,574","28,040,749","-20,468","128,051","4,548,512","8,795,070","99,553","1,835,834","3,243,936","1,045,806","47,717,043","0","5,140,000","194,464","53,051,507",
"2012","23","CLINTON","16,389,181","0","535,406","15,853,775","6,842","152,955","2,679,091","11,874,828","97,593","1,090,337","250,788","645,026","32,651,235","0","2,134,617","10,150","34,796,002",
"2013","70","MUSCATINE","15,074,941","58,858","459,672","14,556,411","5,802","134,942","2,057,460","8,680,551","73,682","1,055,728","738,041","241,904","27,544,521","3,750,000","1,736,500","22,054","33,053,075",
"2023","25","DALLAS","24,591,513","0","0","24,591,513","2,828","189,552","7,721,342","18,776,895","267,280","3,596,483","2,287,698","718,179","58,151,770","0","12,939,407","14,000","71,105,177",
"2015","40","HAMILTON","7,421,686","458","359,214","7,062,014","1,376","41,094","1,161,135","5,610,145","18,899","1,467,590","389,403","1,989,526","17,741,182","0","2,958,334","574,702","21,274,218",
"2011","4","APPANOOSE","3,667,013","0","188,828","3,478,185","9,252","76,423","1,050,448","4,947,223","2,068","323,410","31,528","142,265","10,060,802","140,775","499,421","10","10,701,008",
"2020","78","Pottawattamie","41,886,103","0","0","41,886,103","34,245","238,778","8,734,687","20,945,608","373,830","3,215,922","764,449","1,628,417","77,822,039","28,443","10,341,439","14,000","88,205,921",
"2017","22","CLAYTON","8,688,379","184,425","585,186","7,918,768","1,606","52,138","1,493,296","5,809,782","38,690","462,173","163,494","318,092","16,258,039","0","1,700,000","112,302","18,070,341",
