"FIPS","County","Year","Population","Primary Point"
"19133","Monona County","July 01, 2011","9,238","POINT (-95.9599235 42.0516663)"
"19149","Plymouth County","July 01, 1995","24,256","POINT (-96.2140431 42.7378346)"
"19197","Wright County","July 01, 2002","13,819","POINT (-93.7351465 42.7331189)"
"19087","Henry County","July 01, 2013","20,021","POINT (-91.5445241 40.9879383)"
"19105","Jones County","July 01, 2002","20,150","POINT (-91.1314352 42.1212397)"
"19077","Guthrie County","July 01, 2017","10,645","POINT (-94.501055 41.6837548)"
"19151","Pocahontas County","July 01, 1996","9,133","POINT (-94.6787466 42.7341351)"
"19011","Benton County","July 01, 2016","25,644","POINT (-92.0656912 42.0801864)"
"19087","Henry County","July 01, 1994","19,634","POINT (-91.5445241 40.9879383)"
"19175","Union County","July 01, 1999","12,349","POINT (-94.2423792 41.0277304)"
"19001","Adair County","July 01, 2001","8,077","POINT (-94.4709413 41.3307464)"
"19113","Linn County","July 01, 2023","229,402","POINT (-91.5989646 42.0789478)"
"19143","Osceola County","July 01, 1997","7,156","POINT (-95.6236852 43.3785704)"
"19045","Clinton County","April 01, 2020","46,460","POINT (-90.5319724 41.8980358)"
"19151","Pocahontas County","July 01, 1994","9,167","POINT (-94.6787466 42.7341351)"
"19073","Greene County","July 01, 1997","10,333","POINT (-94.3968356 42.0362394)"
"19007","Appanoose County","July 01, 2002","13,377","POINT (-92.8686104 40.7431635)"
"19159","Ringgold County","July 01, 1995","5,378","POINT (-94.2439719 40.7352023)"
"19017","Bremer County","July 01, 2005","23,394","POINT (-92.3180548 42.7745873)"
"19109","Kossuth County","July 01, 2004","16,156","POINT (-94.2067199 43.20413)"
"19097","Jackson County","July 01, 2008","19,804","POINT (-90.5742294 42.1717426)"
"19115","Louisa County","April 01, 1990","11,592","POINT (-91.2596184 41.2185073)"
"19039","Clarke County","July 01, 1996","8,486","POINT (-93.7851579 41.0290323)"
"19073","Greene County","July 01, 2015","8,944","POINT (-94.3968356 42.0362394)"
"19167","Sioux County","April 01, 2000","31,589","POINT (-96.1778827 43.0826174)"
