"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2013","53","JONES","2,403,475","704,028","1,465,957","823,130","5,827,820","604,219","1,521,516","579,762","0","307,378","14,237,285","1,693,284","0","15,930,569",
"2021","86","TAMA","3,733,002","1,856,488","563,205","993,532","7,511,392","720,244","2,171,190","1,145","921,161","4,372,699","22,844,058","3,248,810","0","26,092,868",
"2010","29","DES MOINES","5,969,759","1,739,582","3,876,453","1,126,855","4,254,601","991,359","3,381,956","0","680,265","2,945,099","24,965,929","1,643,837","0","26,609,766",
"2010","39","GUTHRIE","1,072,789","1,133,180","1,008,249","1,512,450","4,220,075","383,846","1,281,736","0","434,995","538,307","11,585,627","1,284,041","0","12,869,668",
"2022","30","DICKINSON","3,126,659","560,918","543,628","4,221,238","5,359,574","884,352","2,681,733","191,523","1,416,756","1,270,720","20,257,101","5,028,947","0","25,286,048",
"2016","5","AUDUBON","1,228,399","594,662","124,040","833,278","4,212,971","313,766","692,551","0","318,247","942,145","9,260,059","993,784","0","10,253,843",
"2011","62","MAHASKA","2,870,522","662,609","2,282,162","633,618","5,525,361","525,914","1,035,741","834,009","8,490","943,680","15,322,106","1,696,285","0","17,018,391",
"2018","29","DES MOINES","7,180,289","1,684,878","1,606,991","1,355,701","5,445,444","1,052,551","3,086,576","0","3,192,437","2,512,430","27,117,297","2,235,946","0","29,353,243",
"2015","67","MONONA","1,723,313","426,637","623,689","640,439","5,042,083","429,818","1,415,837","0","46,872","462,924","10,811,612","1,624,461","0","12,436,073",
"2013","96","WINNESHIEK","2,311,865","1,333,309","1,369,377","1,517,974","5,902,744","505,879","1,959,576","3,390","0","716,910","15,621,024","2,038,060","0","17,659,084",
"2013","1","ADAIR","1,160,095","282,580","285,565","444,453","4,879,090","306,630","744,142","0","765,450","1,261,053","10,129,058","2,218,266","0","12,347,324",
"2010","71","OBRIEN","2,609,970","513,078","1,706,942","716,353","3,488,080","479,594","886,222","5,190","377,459","234,400","11,017,288","1,296,793","0","12,314,081",
"2014","29","DES MOINES","6,296,126","1,402,373","1,385,557","1,626,533","5,316,770","978,969","2,953,130","0","751,475","814,381","21,525,314","3,397,335","0","24,922,649",
"2011","94","WEBSTER","4,586,741","2,337,204","4,027,074","1,104,992","6,576,716","659,874","2,435,027","0","926,694","3,144,388","25,798,710","3,379,592","0","29,178,302",
"2014","12","BUTLER","2,028,803","1,256,257","22,252,644","734,394","4,836,695","503,613","1,602,322","36,118","534,737","1,928,920","35,714,503","2,185,820","0","37,900,323",
"2017","1","ADAIR","1,371,674","256,374","262,448","541,753","4,708,377","408,349","751,839","0","1,461,196","2,601,482","12,363,492","1,617,903","0","13,981,395",
"2016","37","GREENE","1,579,546","421,013","290,395","1,043,692","5,190,449","365,321","1,572,161","220,652","0","499,137","11,182,366","1,570,072","0","12,752,438",
"2014","34","FLOYD","2,210,368","1,441,366","764,375","770,638","4,968,781","571,007","1,158,766","0","380,427","1,244,409","13,510,137","1,466,333","0","14,976,470",
"2012","78","POTTAWATTAMIE","20,633,784","3,250,400","10,977,382","5,346,638","11,230,908","1,880,818","6,719,255","0","3,826,035","2,898,326","66,763,546","7,907,943","0","74,671,489",
"2017","96","WINNESHIEK","3,958,949","1,241,964","967,481","2,022,243","7,959,011","566,340","2,376,381","2,002,804","0","2,799,589","23,894,762","2,596,619","0","26,491,381",
"2010","22","CLAYTON","2,365,694","608,449","1,651,763","1,134,186","5,389,643","583,646","1,197,288","0","272,575","663,276","13,866,520","1,400,000","0","15,266,520",
"2023","84","SIOUX","5,310,646","1,170,425","0","2,395,543","10,524,235","1,397,149","3,263,996","32,477","953,740","5,492,808","30,541,019","4,863,169","0","35,404,188",
"2011","39","GUTHRIE","1,055,852","1,128,802","1,056,362","1,309,146","3,811,447","334,561","961,099","14,452","444,998","832,791","10,949,510","1,426,169","0","12,375,679",
"2011","67","MONONA","1,536,022","687,595","807,071","580,500","4,737,031","350,783","1,230,914","0","50,274","690,325","10,670,515","1,153,616","0","11,824,131",
"2018","24","CRAWFORD","2,374,934","2,441,602","641,007","1,060,419","6,988,819","701,820","1,271,923","0","156,548","782,110","16,419,182","3,414,518","0","19,833,700",
"2017","37","GREENE","1,694,562","404,701","408,807","840,321","5,298,848","367,573","2,109,440","142,898","0","155,013","11,422,163","1,546,928","0","12,969,091",
"2010","34","FLOYD","2,163,432","1,235,648","1,764,716","558,369","4,549,294","542,042","979,016","0","185,042","1,848,563","13,826,122","986,712","0","14,812,834",
"2022","51","JEFFERSON","3,626,239","729,675","487,658","691,488","4,997,868","600,667","2,470,380","0","852,404","431,801","14,888,180","1,100,000","0","15,988,180",
"2010","93","WAYNE","1,007,833","850,132","680,724","304,091","2,662,471","192,704","689,891","25,812","275,815","662,000","7,351,473","1,768,532","0","9,120,005",
"2024","38","GRUNDY","2,839,867","478,842","0","1,288,329","6,644,825","581,774","3,348,823","0","573,400","767,493","16,523,353","3,682,574","0","20,205,927",
"2019","26","DAVIS","1,774,830","280,128","535,047","480,479","4,856,126","395,381","1,039,404","24,519","401,105","246,473","10,033,492","900,940","0","10,934,432",
"2014","72","OSCEOLA","1,188,558","210,536","301,088","1,817,219","2,648,788","282,667","791,853","67,425","352,022","102,464","7,762,620","1,372,388","585,660","9,720,668",
"2012","32","EMMET","1,528,139","614,441","1,615,207","354,820","2,659,148","385,874","887,662","0","0","23,948","8,069,239","843,466","0","8,912,705",
"2018","56","LEE","6,280,674","4,614,291","1,339,504","1,453,862","5,046,294","1,181,467","2,922,849","68,273","1,018,024","254,199","24,179,437","2,031,998","0","26,211,435",
"2015","72","OSCEOLA","1,296,067","208,205","233,738","1,339,091","3,192,908","357,851","822,255","61,026","469,161","12,634","7,992,936","1,588,182","0","9,581,118",
"2014","89","VAN BUREN","1,139,408","501,332","172,901","422,466","3,015,794","287,825","622,926","4,546","0","282,739","6,449,937","666,428","0","7,116,365",
"2020","43","HARRISON","2,905,393","1,700,513","352,602","1,180,329","6,960,744","634,079","1,473,174","0","117,726","1,456,842","16,781,402","2,696,000","0","19,477,402",
"2012","55","KOSSUTH","2,535,314","362,195","2,108,822","895,228","6,212,018","688,867","1,584,730","68,600","60,000","1,587,277","16,103,051","2,868,900","0","18,971,951",
"2011","99","WRIGHT","1,839,997","3,150,812","1,671,892","791,467","3,849,495","428,912","1,087,510","17,644","251,743","1,292,212","14,381,684","1,597,480","0","15,979,164",
"2013","65","MILLS","2,659,726","1,669,280","487,237","756,731","4,721,759","482,986","2,958,336","0","106,170","22,309","13,864,534","1,881,607","0","15,746,141",
"2023","79","POWESHIEK","3,740,982","332,740","0","582,293","8,007,641","722,545","2,947,393","150,471","1,399,367","2,192,619","20,076,051","3,813,013","0","23,889,064",
"2010","66","MITCHELL","1,474,125","1,089,075","1,350,066","1,243,407","3,789,740","267,233","1,026,890","0","765,704","8,784,939","19,791,179","1,476,160","0","21,267,339",
"2016","32","EMMET","1,754,283","768,014","429,899","408,819","2,780,807","442,088","1,026,182","0","0","31,624","7,641,716","991,363","0","8,633,079",
"2018","88","UNION","1,818,964","428,475","495,155","1,175,613","3,619,815","565,496","987,023","0","1,947,769","1,082,018","12,120,328","1,009,765","0","13,130,093",
"2018","61","MADISON","3,088,885","741,567","385,826","874,090","5,490,964","483,131","1,232,490","0","137,999","1,837,896","14,272,848","1,917,625","0","16,190,473",
"2014","40","HAMILTON","2,631,243","1,531,428","2,062,770","1,737,063","4,408,715","495,217","1,226,358","0","2,808,036","2,165,252","19,066,082","2,850,764","0","21,916,846",
"2010","98","WORTH","1,538,367","911,613","727,653","733,036","3,272,808","305,279","1,012,615","0","731,255","6,986,249","16,218,875","883,013","0","17,101,888",
"2013","33","FAYETTE","3,110,027","423,442","1,539,133","1,406,394","5,309,326","558,033","1,150,583","34,240","359,275","943,467","14,833,920","1,732,149","0","16,566,069",
"2021","90","WAPELLO","5,157,426","854,922","1,455,048","944,796","5,059,761","743,721","3,107,330","68,946","486,564","1,189,990","19,068,504","1,200,000","0","20,268,504",
"2023","10","BUCHANAN","4,797,587","1,289,445","0","1,418,210","7,222,977","893,780","2,670,748","82,466","902,887","653,833","19,931,933","2,993,691","0","22,925,624",
"2016","72","OSCEOLA","1,467,673","208,829","287,488","860,223","3,007,558","265,534","889,174","94,523","477,833","39,104","7,597,939","1,524,479","0","9,122,418",
"2024","72","OSCEOLA","1,877,154","257,634","0","693,425","5,388,128","406,387","1,558,948","140,481","627,575","724,147","11,673,879","2,050,506","0","13,724,385",
"2015","89","VAN BUREN","1,199,143","499,474","81,284","378,439","3,008,478","273,155","614,630","0","0","559,677","6,614,280","641,180","0","7,255,460",
"2015","28","DELAWARE","2,478,169","451,642","1,227,672","872,464","5,294,514","763,332","1,426,709","33,218","482,774","2,708,442","15,738,936","2,191,936","0","17,930,872",
"2018","39","GUTHRIE","1,766,643","1,395,954","307,303","1,426,596","5,452,035","392,113","1,187,949","3,879","624,045","1,303,559","13,860,076","1,749,361","0","15,609,437",
"2018","98","WORTH","2,293,138","920,280","329,133","921,297","3,717,655","374,591","1,416,655","2,080,617","8,755,739","776,921","21,586,026","1,483,658","0","23,069,684",
"2021","71","OBRIEN","3,953,159","454,951","699,579","988,605","4,665,659","690,738","1,391,280","7,792","0","1,068,365","13,920,128","4,275,704","0","18,195,832",
"2014","66","MITCHELL","1,443,589","1,553,745","550,883","1,309,864","4,873,826","311,207","2,078,487","66,848","1,698,920","7,484,963","21,372,332","1,444,553","0","22,816,885",
"2014","98","WORTH","2,529,286","843,645","279,914","823,652","3,252,674","341,245","1,294,957","0","1,576,244","3,253,270","14,194,887","1,153,800","0","15,348,687",
"2022","23","CLINTON","9,631,673","1,913,380","1,610,962","2,178,296","7,560,882","1,227,049","4,633,756","160,412","2,508,431","3,128,294","34,553,135","2,143,461","0","36,696,596",
"2020","90","WAPELLO","4,623,375","804,303","1,969,009","919,497","4,393,855","678,892","3,147,177","70,944","488,454","1,300,952","18,396,458","1,200,000","0","19,596,458",
"2020","38","GRUNDY","1,986,192","475,535","565,235","905,127","6,330,315","511,885","1,716,637","0","1,831,078","277,921","14,599,925","2,463,522","0","17,063,447",
"2017","65","MILLS","3,377,041","1,638,556","579,455","1,243,891","5,704,840","504,004","1,538,437","0","166,872","3,550,399","18,303,495","2,472,753","0","20,776,248",
"2016","89","VAN BUREN","1,229,301","463,031","229,091","315,431","3,615,402","264,541","619,142","7,854","0","83,209","6,827,002","664,128","0","7,491,130",
"2022","8","BOONE","4,715,984","660,684","681,901","1,382,066","7,533,416","731,339","2,091,842","473,307","640,269","1,026,952","19,937,760","3,985,056","0","23,922,816",
"2024","22","CLAYTON","4,036,760","683,738","0","1,564,962","7,609,054","774,467","4,010,542","0","829,758","3,801,546","23,310,827","2,000,000","0","25,310,827",
"2015","57","LINN","25,811,775","15,186,124","14,267,706","6,786,988","12,809,052","4,331,172","14,491,270","0","1,817,067","12,127,575","107,628,729","18,431,571","0","126,060,300",
"2021","40","HAMILTON","3,575,222","1,594,733","476,246","2,013,881","6,786,039","549,367","1,869,045","0","3,128,200","944,569","20,937,302","3,710,184","0","24,647,486",
"2022","94","WEBSTER","6,742,563","4,711,679","1,773,993","2,522,261","11,949,104","1,116,984","3,501,552","0","2,926,990","6,024,543","41,269,669","6,152,368","0","47,422,037",
"2024","7","BLACK HAWK","23,497,691","7,598,369","0","4,383,471","7,786,057","2,476,688","7,661,935","0","4,395,471","6,614,642","64,414,324","18,874,685","0","83,289,009",
"2023","5","AUDUBON","1,864,062","453,423","0","675,388","5,143,972","514,837","1,169,246","486","676,068","6,980,172","17,477,654","8,222,473","0","25,700,127",
"2017","18","CHEROKEE","2,081,276","324,800","458,734","997,220","4,587,921","465,585","1,286,657","375,658","0","2,146,668","12,724,519","1,983,599","0","14,708,118",
"2014","61","MADISON","2,622,355","640,396","733,730","712,250","4,416,115","463,833","1,107,140","0","96,850","169,099","10,961,768","1,557,236","0","12,519,004",
"2018","51","JEFFERSON","3,304,187","819,690","482,622","779,811","4,402,570","562,527","1,264,180","0","391,986","372,484","12,380,057","1,286,071","0","13,666,128",
"2013","28","DELAWARE","2,206,447","466,202","1,760,066","880,294","4,679,379","638,366","1,450,119","27,301","72,278","2,544,503","14,724,955","1,940,452","0","16,665,407",
"2019","84","SIOUX","4,375,692","797,979","776,703","1,837,496","6,239,011","1,046,039","2,369,595","152,442","1,310,408","2,180,986","21,086,351","3,128,000","0","24,214,351",
"2020","23","CLINTON","8,454,294","1,743,533","1,814,595","2,199,090","8,118,248","1,179,591","3,867,307","7,659","2,906,356","3,216,455","33,507,128","2,835,699","0","36,342,827",
"2012","88","UNION","1,494,878","450,792","1,959,535","715,128","3,468,914","445,194","996,073","0","1,812,733","3,855,054","15,198,301","745,761","0","15,944,062",
"2012","27","DECATUR","995,561","1,319,221","325,706","378,234","2,867,086","250,108","473,529","0","250","246,822","6,856,517","458,000","0","7,314,517",
"2021","18","CHEROKEE","2,306,822","333,844","502,244","1,072,084","6,488,492","566,603","1,512,661","253,294","0","3,440","13,039,484","2,231,247","0","15,270,731",
"2024","17","CERRO GORDO","10,816,339","6,445,579","0","2,393,137","8,163,479","1,209,366","4,759,546","0","949,917","5,574,323","40,311,686","8,586,417","0","48,898,103",
"2023","74","PALO ALTO","2,286,744","366,800","0","1,498,449","5,683,833","508,490","2,949,047","0","2,248,105","7,689,079","23,230,547","2,795,444","0","26,025,991",
"2023","64","MARSHALL","10,254,802","595,402","0","1,044,207","9,386,073","1,017,140","2,953,540","0","606,200","13,194,279","39,051,643","10,805,236","0","49,856,879",
"2015","25","DALLAS","9,386,884","2,992,130","3,604,160","3,424,562","6,320,527","2,297,327","1,915,398","10,411","1,877,459","2,788,458","34,617,316","5,305,071","0","39,922,387",
"2017","50","JASPER","5,942,801","1,790,930","931,307","1,418,800","7,282,994","1,410,199","2,752,279","697,362","1,639,423","1,669,789","25,535,884","4,338,305","0","29,874,189",
"2015","84","SIOUX","4,188,112","708,747","1,177,934","1,785,572","5,310,615","890,577","1,999,017","20,938","890,738","2,249,636","19,221,886","2,832,929","0","22,054,815",
"2017","5","AUDUBON","1,207,173","578,408","198,648","605,988","4,611,383","337,295","746,753","0","176,870","2,453,533","10,916,051","726,514","0","11,642,565",
"2021","1","ADAIR","1,756,169","278,496","252,000","796,212","6,052,013","460,199","959,336","0","3,162,437","3,986,038","17,702,900","1,104,000","0","18,806,900",
"2022","47","IDA","1,135,426","294,297","159,628","915,395","3,133,514","331,931","927,177","0","1,065,536","6,882,365","14,845,269","2,298,524","0","17,143,793",
"2018","83","SHELBY","2,331,924","564,429","263,057","435,114","5,733,522","452,213","1,245,955","5,221","31,468","1,824,491","12,887,394","4,152,600","0","17,039,994",
"2021","55","KOSSUTH","3,781,089","323,419","543,549","1,201,876","7,115,900","921,231","2,666,153","66,535","0","1,957,298","18,577,050","2,783,537","0","21,360,587",
"2022","83","SHELBY","2,892,839","748,872","470,278","692,043","6,370,121","416,641","1,622,965","799,179","114,366","947,050","15,074,354","4,420,677","0","19,495,031",
"2023","32","EMMET","2,399,897","850,517","0","509,106","3,675,780","531,777","1,614,576","0","0","33,074","9,614,727","1,211,031","0","10,825,758",
"2022","72","OSCEOLA","1,792,652","310,009","92,633","733,695","3,873,636","369,161","1,163,310","290,190","344,875","797,963","9,768,124","1,838,623","0","11,606,747",
"2013","21","CLAY","2,655,252","582,741","885,110","1,426,873","4,323,981","520,080","1,599,976","1,785","641,881","5,378,290","18,015,969","1,820,028","0","19,835,997",
"2016","57","LINN","26,076,813","14,817,370","13,652,134","7,235,587","12,935,615","4,094,263","14,013,152","0","1,932,922","14,235,722","108,993,578","22,477,843","0","131,471,421",
"2019","58","LOUISA","3,267,878","727,956","435,663","770,216","3,729,292","363,247","1,236,760","0","339,870","1,172,851","12,043,733","2,048,515","0","14,092,248",
"2020","28","DELAWARE","3,025,329","394,049","1,113,921","1,168,437","7,513,938","708,650","2,014,286","48,759","462,425","4,845,237","21,295,031","2,919,157","0","24,214,188",
"2011","58","LOUISA","2,247,083","610,289","1,316,123","2,153,887","3,287,187","279,099","916,764","0","355,650","668,267","11,834,349","1,520,241","0","13,354,590",
"2016","22","CLAYTON","2,835,074","692,739","916,319","1,238,905","5,542,615","642,533","1,676,358","1,393","339,032","1,105,134","14,990,102","1,700,000","0","16,690,102",
"2023","42","HARDIN","5,135,194","528,696","0","2,326,787","8,102,329","681,014","3,028,549","96,808","1,850,401","75,644","21,825,422","2,444,425","0","24,269,847",
"2023","89","VAN BUREN","1,569,219","599,975","0","636,491","4,062,670","359,713","1,010,332","5,349","0","161,694","8,405,443","1,106,614","0","9,512,057",
"2021","33","FAYETTE","4,487,523","385,637","623,388","1,846,411","6,895,011","678,939","1,306,949","23,685","568,110","6,349,504","23,165,157","2,646,426","0","25,811,583",
"2020","75","PLYMOUTH","4,166,711","385,882","565,365","1,322,690","7,440,545","878,411","2,077,889","0","652,645","3,903,001","21,393,139","4,025,000","0","25,418,139",
"2021","23","CLINTON","9,155,923","1,920,173","1,405,106","1,899,013","7,070,739","1,339,651","3,810,811","20,659","1,828,630","6,224,611","34,675,316","2,128,265","0","36,803,581",
"2022","40","HAMILTON","3,812,652","1,697,191","463,156","2,278,621","6,726,198","511,920","2,641,558","0","2,594,786","878,655","21,604,737","3,553,823","0","25,158,560",
"2017","33","FAYETTE","3,702,970","406,106","1,177,407","1,636,401","5,754,815","633,984","1,549,937","14,417","600,340","1,561,728","17,038,105","2,027,456","0","19,065,561",
"2019","90","WAPELLO","4,241,162","1,051,774","2,104,191","871,650","5,672,599","688,865","2,867,335","72,609","778,025","1,928,889","20,277,099","1,200,000","0","21,477,099",
"2014","8","BOONE","3,317,174","646,572","1,778,573","1,439,731","5,508,311","530,799","1,758,354","0","736,588","3,352,519","19,068,621","2,834,622","0","21,903,243",
"2010","10","BUCHANAN","2,268,050","361,397","2,762,301","1,086,436","4,081,132","461,955","1,951,113","57,583","474,103","4,054,293","17,558,363","2,072,477","0","19,630,840",
"2024","40","HAMILTON","4,156,594","1,863,027","0","2,656,073","6,664,040","558,162","2,946,237","0","2,376,454","622,681","21,843,268","3,901,151","0","25,744,419",
"2021","8","BOONE","4,426,943","620,213","765,783","1,277,789","7,496,360","661,086","2,020,692","330,616","3,194,875","1,446,174","22,240,531","3,723,419","0","25,963,950",
"2011","90","WAPELLO","3,491,128","1,555,546","3,991,273","956,110","3,902,306","550,461","2,651,075","118,907","299,475","2,071,532","19,587,813","1,146,480","0","20,734,293",
"2020","17","CERRO GORDO","9,351,428","5,972,034","1,790,623","1,999,049","7,288,478","1,203,120","3,230,554","0","997,494","2,045,066","33,877,846","10,145,905","0","44,023,751",
"2013","92","WASHINGTON","4,082,648","2,540,974","803,782","859,122","4,611,669","600,279","1,734,551","31,375","3,265,961","3,063,380","21,593,741","3,103,615","0","24,697,356",
"2010","54","KEOKUK","846,912","535,297","803,395","350,009","3,386,900","310,858","1,303,348","0","0","357,805","7,894,524","1,108,000","0","9,002,524",
"2021","50","JASPER","7,166,470","1,653,014","972,094","1,998,931","7,728,196","1,321,611","3,438,758","495,285","1,539,760","269,061","26,583,180","6,022,782","0","32,605,962",
"2013","60","LYON","3,073,517","817,968","626,177","848,482","4,095,979","538,165","1,187,133","85,741","242,323","653,676","12,169,161","2,043,717","0","14,212,878",
"2011","71","OBRIEN","2,652,292","493,654","1,791,773","764,455","3,495,543","476,715","933,391","7,099","374,946","673,240","11,663,108","1,311,666","0","12,974,774",
"2015","99","WRIGHT","2,107,427","4,033,350","834,551","859,491","4,814,403","499,269","1,220,320","27,186","330,591","992,718","15,719,306","1,862,351","0","17,581,657",
"2011","43","HARRISON","1,906,868","1,323,543","1,861,524","881,640","4,711,995","448,239","1,928,474","0","456,987","661,863","14,181,133","1,468,600","0","15,649,733",
"2018","78","POTTAWATTAMIE","29,842,959","3,491,566","2,499,749","5,439,578","13,886,826","2,113,367","7,745,381","0","2,971,908","3,732,016","71,723,350","8,968,693","0","80,692,043",
"2016","17","CERRO GORDO","8,400,109","5,090,109","1,848,841","1,249,481","5,828,670","1,210,518","3,048,671","338,147","1,435,699","19,425","28,469,670","6,241,959","0","34,711,629",
"2017","91","WARREN","5,318,201","2,988,100","1,038,894","1,551,143","6,642,904","1,007,141","3,029,016","1,424","102,213","1,726,455","23,405,491","3,253,045","0","26,658,536",
"2014","25","DALLAS","8,293,087","2,895,725","2,422,654","2,899,400","8,292,269","1,806,849","1,515,793","72,569","1,815,876","422,020","30,436,242","4,628,761","0","35,065,003",
"2021","30","DICKINSON","3,096,757","546,322","521,692","6,289,259","5,275,008","888,037","2,629,477","96,582","1,338,327","380,021","21,061,482","5,435,693","0","26,497,175",
"2015","5","AUDUBON","1,246,462","543,238","124,170","454,880","3,840,304","280,391","635,856","0","24,781","247,912","7,397,994","683,306","0","8,081,300",
"2019","99","WRIGHT","2,585,515","1,998,293","642,193","998,608","6,402,789","515,350","1,619,820","54,651","2,221,673","5,678,930","22,717,822","4,030,460","0","26,748,282",
"2018","66","MITCHELL","1,749,511","1,751,913","558,431","1,675,510","3,175,866","373,759","2,408,549","0","5,704,526","883,367","18,281,432","1,344,160","0","19,625,592",
"2024","12","BUTLER","2,748,044","1,398,076","0","2,082,590","7,201,631","711,381","2,195,422","0","1,460,962","3,510,979","21,309,085","4,587,402","0","25,896,487",
"2011","11","BUENA VISTA","2,658,857","1,130,041","1,267,437","668,824","3,779,119","637,084","1,221,623","9,180","1,048,021","1,476,837","13,897,023","1,980,062","0","15,877,085",
"2013","32","EMMET","1,627,085","625,574","1,204,825","379,425","2,663,186","398,418","898,052","0","0","33,902","7,830,467","878,822","0","8,709,289",
"2014","76","POCAHONTAS","1,763,578","1,235,439","502,604","962,215","3,752,893","333,667","1,445,459","12,595","0","187,628","10,196,078","1,090,000","0","11,286,078",
"2012","59","LUCAS","985,885","724,429","867,381","174,954","3,439,489","266,106","888,527","0","253,385","279,250","7,879,406","742,066","0","8,621,472",
"2018","93","WAYNE","1,606,412","1,092,037","228,554","345,027","3,409,233","259,248","814,277","12,730","268,283","365,801","8,401,602","557,010","0","8,958,612",
"2023","43","HARRISON","3,780,823","2,027,177","0","2,041,830","7,850,648","700,674","1,739,541","0","630,745","4,140,135","22,911,573","4,941,097","0","27,852,670",
"2021","72","OSCEOLA","1,968,828","277,410","132,880","1,021,957","3,903,469","315,711","1,056,285","157,942","346,125","51,325","9,231,932","1,747,813","0","10,979,745",
"2020","39","GUTHRIE","2,218,687","1,512,801","324,245","1,747,201","6,292,549","432,655","1,608,203","3,994","1,683,324","672,233","16,495,892","2,002,268","0","18,498,160",
"2020","93","WAYNE","1,828,951","1,097,029","301,403","315,998","3,801,751","284,486","1,002,319","0","268,405","6,174","8,906,516","678,592","0","9,585,108",
"2014","93","WAYNE","1,268,845","1,082,617","434,077","675,575","2,977,920","217,463","815,139","12,254","128,162","137,991","7,750,043","573,582","0","8,323,625",
"2023","75","PLYMOUTH","5,014,819","465,851","0","1,598,015","10,388,728","950,291","3,433,631","0","630,270","3,278,446","25,760,051","4,735,000","0","30,495,051",
"2011","26","DAVIS","1,020,220","220,699","695,735","304,660","3,786,370","315,501","796,920","11,912","0","88,999","7,241,016","622,426","0","7,863,442",
"2012","28","DELAWARE","2,135,926","448,982","2,858,271","953,923","4,814,192","621,974","1,314,883","6,377","72,278","1,190,041","14,416,847","1,934,974","0","16,351,821",
"2013","43","HARRISON","2,103,249","1,344,044","941,204","839,776","5,431,310","479,652","1,949,964","0","226,233","236,821","13,552,253","1,775,000","0","15,327,253",
"2023","6","BENTON","5,853,897","1,096,906","0","2,091,577","9,176,667","1,022,277","3,493,747","79,552","812,575","3,675,338","27,302,536","3,634,745","0","30,937,281",
"2019","43","HARRISON","2,862,391","1,726,085","322,129","1,197,343","7,322,694","592,080","1,518,817","0","119,175","542,850","16,203,564","2,213,000","0","18,416,564",
"2010","78","POTTAWATTAMIE","19,081,972","3,016,936","9,232,322","5,097,429","10,741,032","1,761,893","7,165,378","0","9,647,748","10,631,126","76,375,836","7,154,436","0","83,530,272",
"2015","60","LYON","3,116,104","632,584","297,772","919,780","5,149,872","477,492","1,122,711","70,716","243,622","3,491,044","15,521,697","2,817,236","0","18,338,933",
"2017","61","MADISON","2,948,275","714,807","376,339","792,886","5,794,230","552,889","1,030,804","0","114,665","1,015,015","13,339,910","1,664,781","0","15,004,691",
"2021","94","WEBSTER","6,016,449","4,115,194","1,088,310","2,005,984","7,961,289","1,018,395","3,366,081","0","2,916,587","7,567,339","36,055,628","5,856,432","0","41,912,060",
"2011","95","WINNEBAGO","1,699,556","1,019,983","1,358,768","661,552","3,680,283","362,235","813,748","4,440","905,020","13,069,769","23,575,354","1,419,461","0","24,994,815",
"2024","76","POCAHONTAS","2,859,030","1,657,201","0","1,198,993","6,272,723","475,346","2,261,446","10,746","0","1,173,515","15,909,000","2,319,209","0","18,228,209",
"2015","43","HARRISON","2,408,419","1,511,535","1,954,604","1,021,399","5,274,374","642,785","1,223,892","0","0","414,945","14,451,953","2,017,500","0","16,469,453",
"2016","76","POCAHONTAS","2,003,836","1,235,739","407,600","1,035,170","3,055,294","314,075","1,210,441","10,129","0","175,526","9,447,810","1,248,901","0","10,696,711",
"2019","11","BUENA VISTA","4,018,180","1,354,962","678,163","1,225,627","8,367,181","848,617","1,848,149","171,107","1,047,966","3,258,963","22,818,915","2,987,320","0","25,806,235",
"2016","93","WAYNE","1,369,491","837,778","387,955","628,349","2,817,926","275,552","784,170","25,447","301,043","166,538","7,594,249","494,161","2,520,000","10,608,410",
"2020","86","TAMA","3,607,893","1,746,257","717,851","775,671","8,686,066","612,612","1,702,436","5,035","6,870,413","750,963","25,475,197","2,910,162","0","28,385,359",
"2014","81","SAC","2,190,790","692,365","533,406","766,327","4,314,219","436,082","1,267,121","0","47,289","408,629","10,656,228","1,375,705","0","12,031,933",
"2024","39","GUTHRIE","3,442,108","2,387,878","0","1,867,757","8,293,905","640,409","2,210,838","5,048","2,145,604","748,120","21,741,667","3,199,144","0","24,940,811",
"2016","49","JACKSON","2,186,446","261,854","1,133,954","1,737,881","5,086,977","632,898","1,804,235","0","0","575,810","13,420,055","1,081,064","0","14,501,119",
"2024","29","DES MOINES","9,385,056","1,339,954","0","1,369,826","5,938,359","991,157","6,547,468","0","3,519,893","2,097,691","31,189,404","3,118,043","0","34,307,447",
"2015","32","EMMET","1,695,687","650,028","956,096","374,786","2,945,492","420,284","954,078","0","0","15,651","8,012,102","1,006,162","0","9,018,264",
"2016","44","HENRY","3,175,107","919,766","475,184","1,002,942","4,118,243","610,732","1,341,736","73,966","233,102","603,473","12,554,251","1,373,344","0","13,927,595",
"2014","94","WEBSTER","4,952,634","3,193,181","2,234,199","1,449,449","6,958,507","848,254","2,814,515","28,204","1,070,234","1,701,195","25,250,372","3,899,708","0","29,150,080",
"2022","27","DECATUR","1,706,449","717,625","462,578","1,097,717","4,167,035","359,712","1,077,530","0","260,544","54,574","9,903,764","1,268,692","0","11,172,456",
"2024","61","MADISON","4,088,027","712,620","0","1,349,058","7,014,029","733,245","2,939,400","0","903,431","208,498","17,948,308","2,414,205","0","20,362,513",
"2020","27","DECATUR","1,745,770","635,709","302,153","487,127","4,317,439","357,910","1,029,816","0","322,392","23,224","9,221,540","586,241","0","9,807,781",
