"","County","Year","Population","Personal_Income","Personal_Income_Per_Capita","Total_Revenue","Revenue_Percent_Property_Tax","Revenue_Percent_Grant","Revenue_Percent_Activities","Revenue_Percent_Other","Total_Budget","Budgeted_Public_Safety_Percent","Budgeted_Mental_Health_Percent","Budgeted_Roads_Transportation_Percent","Budgeted_Administration_Percent","Budgeted_Debt_Percent","Budgeted_Physical_Health_Percent","Budgeted_Environment_Education_Percent","Budgeted_Services_to_Residents_Percent","Budgeted_Refunded_Programs_Percent","Budgeted_Projects_Percent","Budgeted_Transfers_Out_Percent","Budgeted_Refunded_Debt_Percent","Total_Expenditure","Actual_Public_Safety_Percent","Actual_Mental_Health_Percent","Actual_Roads_Transportation_Percent","Actual_Administration_Percent","Actual_Debt_Percent","Actual_Physical_Health_Percent","Actual_Environment_Education_Percent","Actual_Services_to_Residents_Percent","Actual_Refunded_Programs_Percent","Actual_Projects_Percent","Actual_Transfers_Out_Percent","Actual_Refunded_Debt_Percent"
"1045","JACKSON",2019,19439,876402000,44724,15907243,0.41,0.3291,0.0789,0.182,16407508,0.152023878336674,0.0241221884517746,0.361222191694193,0.13089050451781,0,0.0185128661829694,0.129790703134199,0.0441990947071304,0,0.0680699348127699,0.0711686381624802,0,15534438,0.158877006042961,0.0239687460853106,0.406597779720129,0.12151363312918,0,0.0246464661289967,0.090774896394707,0.0446633473319086,0,0.0548035274916286,0.0741545976751782,0
"1046","MITCHELL",2013,10669,566557000,53228,20851672,0.2182,0.1865,0.0593,0.536,17902533,0.0815762216441662,0.0343526807072496,0.200809572589532,0.0678703399122348,0.0729844206962221,0.0949208137194887,0.0614892875773501,0.0183326013140152,0,0.284317308617725,0.0833467532220161,0,15773925,0.0904021668671558,0.0477715597100912,0.211171411047029,0.147901996491045,0.0918218515683319,0.110845525130873,0.0672469280790925,0.0196344917324001,0,0.11861011130711,0.094593958066873,0
"1047","TAYLOR",2021,5868,326712000,55629,13072576,0.3414,0.4973,0.0359,0.1254,12282207,0.149822829072983,0.0129455561203292,0.350030739589391,0.0783515535929333,0.0783849352156335,0.118795994889192,0.0487663984168318,0.0319106329994275,0,0.0526534848337925,0.0783378752694854,0,12337717,0.145759624734463,0.0136977529959554,0.347803568520821,0.0661377627643753,0.0780322648023131,0.111751225935884,0.0380348325383051,0.0294488842627854,0,0.0913486668562749,0.0779854165888227,0
"1048","JACKSON",2012,19685,749195000,37957,14640083,0.3462,0.3861,0.0773,0.1904,13964450,0.126448231043829,0.189981345488007,0.321195034534121,0.0995617442863844,0,0.0272986046711471,0.100833401959977,0.0399430697234764,0.00872930906695215,0.0151149526118107,0.0708943066142956,0,13337616,0.128421376054011,0.189940915977788,0.332859935388753,0.101241256308474,0,0.0228326411556608,0.0886100634476206,0.0388984058320467,0,0.01097272556055,0.0862226802750956,0
"1049","MUSCATINE",2016,42968,1886284000,43462,42109894,0.357,0.2247,0.0464,0.3719,34340585,0.27570179715925,0.0747173643081502,0.183485517209448,0.087833419261786,0.0674668180521677,0.0369198428040757,0.0356139244570237,0.0243524389581599,0,0.165722278755589,0.0481865990343496,0,39626150,0.231954706677283,0.0926254758536976,0.151335948609693,0.0703499582977403,0.218287595438871,0.0277950292925253,0.0304100448819782,0.0196176767109598,0,0.105533139101326,0.0520904251359267,0
"1050","WASHINGTON",2010,21704,850030000,39172,20381263,0.3488,0.3343,0.0443,0.2726,21736528,0.196349987449698,0.104231549767286,0.21039845922035,0.0846330655935483,0.116174947535319,0.112879849072492,0.0362043100903695,0.0308617825257097,0.00251650125539829,0.0232465828949315,0.0825029645948976,0,19581423,0.193584705258653,0.0849565938083254,0.225076287867332,0.0819094199640139,0.117344689402808,0.120994934842069,0.0403098896336594,0.0302573005036457,0.00307490420895356,0.0157596820210666,0.0867315924894733,0
"1051","STORY",2016,96893,3771881000,38775,46292809,0.512,0.2164,0.055,0.2166,43608072,0.248841613543474,0.108033416382178,0.143578349439526,0.133869986272266,0.0271457999794167,0.0567577947495592,0.081583427948844,0.041156577617098,0,0.0699893359192766,0.0890436981483612,0,42397541,0.257736362587632,0.100999513155728,0.131242611452395,0.128373412033495,0.084901338971522,0.056845490166517,0.0821530427908543,0.0383648664907241,0.000345633252645478,0.0368861722428666,0.0821515568556205,0
"1052","APPANOOSE",2018,12401,475021000,38454,10405080,0.3806,0.4006,0.0445,0.1743,11472984,0.234656302144237,0.0441997478598419,0.304454359911946,0.0962990970788419,0.0130822112189819,0.0771988351068911,0.0691723269203548,0.0472488238456534,0,0.0495733280897106,0.0641149678235409,0,9897808,0.253700314251398,0.044075920648289,0.32181862893279,0.104784918034377,0.0100307057885948,0.054309802736121,0.0615512040645767,0.0481230793727258,0,0.0301828445247675,0.0714225816463605,0
"1053","CLAY",2018,16106,791665000,48082,17623079,0.4275,0.2934,0.0683,0.2108,17148537,0.174212937231905,0.0235260885520438,0.302141926159648,0.121386273359646,0.0283031724513875,0.0450220330748915,0.0850242793306508,0.032131487368281,0,0.0617524398728591,0.126499362598687,0,16246598,0.182478448718926,0.0248294442935069,0.334015588986691,0.128894307595966,0.0299319279026908,0.0420592052563866,0.0954375802244876,0.0314333499234732,0,0.0128999314194886,0.118020215678384,0
"1054","GREENE",2019,8888,418170000,47299,14207927,0.3579,0.3037,0.0449,0.2935,13925091,0.13971614260905,0.0269649943400729,0.424133673525006,0.14101545189184,0,0.0442840912134793,0.0500049155872662,0.0284836917762333,0.0150806913936864,0.0173440159206141,0.112972331742751,0,14309782,0.153498215416559,0.0297362321801967,0.43263747833475,0.141243381625241,0,0.0341364389757999,0.0488734209927167,0.0269301796491379,0.0140807176517434,0.00528351864479836,0.113580416529057,0
"1055","MUSCATINE",2021,42693,2282520000,53470,47897066,0.363,0.3623,0.0558,0.2189,41965901,0.304967049319399,0.0255113788692396,0.178597380763968,0.0871697476482156,0.0590096469035658,0.0344438929120097,0.0499320388712731,0.0231148855829403,0,0.164645410567975,0.0726085685614137,0,37423732,0.323129184443711,0.0231366289177146,0.157942986551956,0.0947180254497333,0.0646186756574678,0.0394839296091582,0.0410365005820371,0.0261240113626295,0,0.106036084268667,0.123773973156926,0
